a,b,theta,R3,R4,status
7.3,5.9,23,2.2,2.1,NotYet
7.3,5.9,23.5,2.2,2.1,NotYet
7.3,5.9,25,2.2,2.1,NotYet
7.3,5.9,24.5,2.2,2.1,NotYet
