a,b,theta,R3,R4,status
7.3,5.9,25.5,2.2,2.1,NotYet
7.3,5.9,24,2.2,2.1,NotYet
7.3,5.9,27,2.2,2.1,NotYet
7.3,5.9,22.5,2.2,2.1,NotYet
7.3,5.9,28.5,2.2,2.1,NotYet
