a,b,R3,R4,theta,A1,A2,A4,phi,status
7.9,6.1,-0.2,-0.6,28.5,0,0,0,0,InProgress
7.9,6.1,-0.2,-0.5,28.5,0,0,0,0,InProgress
7.9,6.1,-0.2,-0.7,28.5,0,0,0,0,InProgress
7.9,6.1,-0.1,-0.6,28.5,0,0,0,0,InProgress
8,5.9,-0.1,-0.5,28.5,0,0,0,0,NotYet
8,5.9,-0.1,-0.7,28.5,0,0,0,0,NotYet
8,5.9,-0.3,-0.6,28.5,0,0,0,0,NotYet
8,5.9,-0.3,-0.5,28.5,0,0,0,0,NotYet
8,5.9,-0.3,-0.7,28.5,0,0,0,0,NotYet
